DetectionTimeStart_ShipLocal,DetectionTimeStart_UTC,DetectionTimeEnd_UTC,Latitude,Longitude
10/22/2017 15:42:32,10/23/2017 01:42:32,10/23/2017 01:42:53,25.28801333,-170.1287567
10/22/2017 15:43:09,10/23/2017 01:43:09,10/23/2017 01:43:33,25.28841333,-170.1303333
10/22/2017 15:43:49,10/23/2017 01:43:49,10/23/2017 01:44:10,25.28894333,-170.1323867
10/22/2017 15:44:41,10/23/2017 01:44:41,10/23/2017 01:45:07,25.28958833,-170.134985
10/22/2017 15:45:43,10/23/2017 01:45:43,10/23/2017 01:46:01,25.29038333,-170.1380833
10/22/2017 15:46:20,10/23/2017 01:46:20,10/23/2017 01:46:43,25.290905,-170.140155
10/22/2017 15:49:44,10/23/2017 01:49:44,10/23/2017 01:50:09,25.29344667,-170.15006
10/22/2017 15:50:22,10/23/2017 01:50:22,10/23/2017 01:50:49,25.293975,-170.15213
10/22/2017 15:51:14,10/23/2017 01:51:14,10/23/2017 01:51:36,25.29452667,-170.1542483
10/22/2017 15:51:58,10/23/2017 01:51:58,10/23/2017 01:52:23,25.2952,-170.15686
10/22/2017 15:52:55,10/23/2017 01:52:55,10/23/2017 01:53:06,25.29588,-170.1594133
10/22/2017 15:54:26,10/23/2017 01:54:26,10/23/2017 01:54:47,25.29711167,-170.1640983
10/22/2017 15:55:16,10/23/2017 01:55:16,10/23/2017 01:55:28,25.29767833,-170.1662117
10/22/2017 15:55:39,10/23/2017 01:55:39,10/23/2017 01:55:52,25.29795333,-170.1673
10/22/2017 15:57:13,10/23/2017 01:57:13,10/23/2017 01:57:42,25.29919167,-170.17196
10/22/2017 15:57:14,10/23/2017 01:57:14,10/23/2017 01:57:31,25.29919167,-170.17196
10/22/2017 15:58:47,10/23/2017 01:58:47,10/23/2017 01:59:18,25.300895,-170.1763667
10/22/2017 15:58:58,10/23/2017 01:58:58,10/23/2017 01:59:14,25.30120333,-170.1767483
10/22/2017 15:59:34,10/23/2017 01:59:34,10/23/2017 01:59:48,25.30272333,-170.1781783
10/22/2017 15:59:35,10/23/2017 01:59:35,10/23/2017 01:59:47,25.30272333,-170.1781783
10/22/2017 16:00:13,10/23/2017 02:00:13,10/23/2017 02:00:32,25.30386667,-170.1792083
10/22/2017 16:00:31,10/23/2017 02:00:31,10/23/2017 02:00:57,25.30463,-170.1798683
10/22/2017 16:00:32,10/23/2017 02:00:32,10/23/2017 02:00:45,25.30463,-170.1798683
10/22/2017 16:02:11,10/23/2017 02:02:11,10/23/2017 02:02:23,25.30822,-170.1828467
10/22/2017 16:03:03,10/23/2017 02:03:03,10/23/2017 02:03:26,25.31017167,-170.1844733
10/22/2017 16:03:59,10/23/2017 02:03:59,10/23/2017 02:04:11,25.312475,-170.18642
10/22/2017 16:04:03,10/23/2017 02:04:03,10/23/2017 02:04:21,25.312475,-170.18642
10/22/2017 16:04:43,10/23/2017 02:04:43,10/23/2017 02:04:59,25.31401,-170.187725
10/22/2017 16:05:01,10/23/2017 02:05:01,10/23/2017 02:05:16,25.31440833,-170.1880667
10/22/2017 16:06:12,10/23/2017 02:06:12,10/23/2017 02:06:24,25.31714833,-170.1903633
10/22/2017 16:14:39,10/23/2017 02:14:39,10/23/2017 02:14:50,25.33556333,-170.205845
10/22/2017 16:16:37,10/23/2017 02:16:37,10/23/2017 02:16:58,25.33978333,-170.2093883
